trial 	#th 	67108864 	134217728 	268435456 	536870912 	1073741824 	2147483616 
1	1	0.319115	0.639218	1.286728	2.596020	5.160847	10.320646	
2	1	0.319532	0.640058	1.289323	2.586877	5.119878	10.336034	
3	1	0.319965	0.638990	1.285834	2.588166	5.127468	10.323819	
4	1	0.318957	0.638401	1.285992	2.588286	5.129532	10.339003	
5	1	0.396306	0.638837	1.286581	2.587816	5.118768	10.325643	

1	2	0.274429	0.537567	0.713432	1.493376	2.840100	5.761317	
2	2	0.259885	0.473374	0.739349	1.520063	2.848060	5.797232	
3	2	0.245544	0.385154	0.799958	1.449270	2.835813	5.796027	
4	2	0.274662	0.461585	0.743602	1.443700	2.835807	5.759926	
5	2	0.265503	0.447371	0.807662	1.451446	2.835624	5.762415	

1	4	0.151766	0.282838	0.572900	0.919553	1.647117	3.282561	
2	4	0.153521	0.271369	0.477000	0.930056	1.575280	3.406407	
3	4	0.152923	0.257384	0.462187	0.991648	1.787205	3.292393	
4	4	0.159735	0.266794	0.471001	0.868000	1.749356	3.390129	
5	4	0.148602	0.270220	0.556984	0.873717	1.674457	3.468663	

1	6	0.106289	0.210608	0.407384	0.603556	1.263945	2.379919	
2	6	0.078336	0.188175	0.342885	0.677569	1.298359	2.196209	
3	6	0.088279	0.219421	0.391503	0.604776	1.137225	2.243865	
4	6	0.111108	0.228838	0.346264	0.711820	1.420592	2.293543	
5	6	0.110840	0.283846	0.341714	0.600266	1.174504	2.199048	

1	8	0.086926	0.203020	0.270574	0.819701	1.114831	2.033725	
2	8	0.103423	0.211559	0.342756	0.687433	1.090782	1.938963	
3	8	0.120617	0.208461	0.394744	0.620706	1.059954	1.978227	
4	8	0.100004	0.217748	0.418491	0.682730	1.067142	2.030964	
5	8	0.089578	0.202001	0.257371	0.640438	1.031555	1.883654	

1	12	0.065015	0.147432	0.254098	0.412264	0.737534	1.377882	
2	12	0.078470	0.146275	0.268164	0.418574	0.821003	1.512974	
3	12	0.077658	0.152436	0.255230	0.406280	0.788620	1.350137	
4	12	0.070119	0.142667	0.247857	0.482237	0.680264	1.437644	
5	12	0.065029	0.156619	0.233938	0.398743	0.835925	1.455576	

1	16	0.051921	0.122205	0.218898	0.361631	0.765083	1.282695	
2	16	0.049975	0.113402	0.232117	0.401529	0.880645	1.196030	
3	16	0.051083	0.154262	0.225281	0.419735	0.578535	1.148780	
4	16	0.050252	0.108426	0.251560	0.363698	0.557441	1.164553	
5	16	0.063951	0.069441	0.244144	0.363885	0.626088	1.189773	

